title,description,release_date,tags,rating
Король Лев,"На глаза у малыша Симбы погиб его отец, король Лев Муфаса. Спасаясь от мести интригана дяди Шрама, в панике Симба сбежал из родной стаи в тропические джунгли.Слегка оправившись от шока, львенок начал привыкать к новой обстановке. Тем более, что скоро в его жизни появилось два самых веселых в мире друга. Но нельзя отречься от своего прошлого, повзрослевшему Симбе все же придется вернуться в дом во имя справедливости.",02.07.1994,"детский, драма, комедия, мультфильм, мюзикл, приключения, семейный",8.95/10
Человек-паук: Паутина вселенных,"Продолжение истории о подростке из Нью-Йорка Майлзе Моралесе, случайным образом получившим сверхспособности, с которым зрители могли познакомиться в анимационном фильме ""Человек-паук: Через вселенные"" 2018 года.",01.06.2023,"боевик, кинокомикс, мультфильм, приключения, семейный, фантастика",8.60/10
Отступники,"Полицейские внедряют в окружение мафиози Фрэнка Костелло Билли Костигана. Но и у Костелло есть свой человек в полиции - Колин Салливан. При этом каждая из враждующих сторон знает о существовании ""крота"" в своих рядах.Консультантом фильма был отставной полицейский Томас Даффи. Он участвовал в расследовании дела бостонского гангстера Уайти Балгера, который стал прототипом Фрэнка Костелло.",26.09.2006,"драма, криминал, триллер",8.80/10
Одержимость,"История о молодом музыканте, преодолевающем различные препятствия на пути к осуществлению мечты всей своей жизни - стать одним из лучших джазовых барабанщиков.",13.11.2014,"драма, музыка",8.78/10
Американская история Х,"Дерек Виньярд вернулся из тюрьмы, чтобы найти своего младшего брата Дэнни, втянутого в ту же неонацистскую группировку, из-за нахождения в которой Дерек отсидел срок. После гибели отца у Дерека свое понятие справедливости, свое видения плохого и хорошего в окружающем мире. Но главной задачей на тот момент для него было убедить Дэнни уйти из банды.",12.02.1999,"драма, криминал",8.58/10
Леон,"Леон - профессиональный убийца. Он с легкостью выполняет самые сложные заказы и всегда придерживается одного правила: "" Не убивать ни женщин, ни детей!"" Однажды он становится свидетелем того, как ""продажные полицейские"" убивают всю семью наркокурьера за то, что он припрятал немного товара. Чудом остается в живых только девочка Матильда, которую Леон прячет у себя дома, а потом оставляет у себя жить. Она ходит по магазинам и учит его читать, а он взамен учит ее своим профессиональным навыкам. Но такая идиллия не может продолжаться долго...",14.09.1994,"боевик, драма, криминал, триллер",8.95/10
Могила светлячков,"Трагическая история о маленьком мальчике и его младшей  сестренке, которые пытаются выжить в Японии во время Второй Мировой Войны. ",16.04.1988,"аниме, военный, драма, мультфильм",8.61/10
Престиж,"В этой вольной экранизации романа Кристофера Приста речь идет о смертельной вражде двух иллюзионистов, Артура Бордена (Кристиан Бейл) и Роберта Энджера (Хью Джекман). Это история одержимости, ненависти и мести, фоном для которой послужили роскошные декорации девятнадцатого века и невероятные научные открытия Николы Теслы.",17.10.2006,"детектив, драма, триллер, фантастика, фэнтези",8.79/10
Харакири,"Хансиро Цугумо когда-то был самураем в клане Фокушима, но его дом потерпел поражение и теперь ронин уже много лет влачит жалкое существование. Не желая жить в нищете и позоре, Хансиро приходит в поместье клана Ии, с просьбой совершить харакири во дворе их имения, ведь такая смерть будет почётной. Советник клана Ии соглашается удовлетворить просьбу ронина, ещё не зная, что весь последующий ритуал самоубийства станет серьёзной проверкой на честь для клана Ии.",16.09.1962,"боевик, драма, исторический",9.67/10
Дюна: Часть вторая,"Герцог Пол Атрейдес присоединяется к фрименам, чтобы стать Муад Дибом, одновременно пытаясь остановить наступление Священной войны, которая несомненно может погрузить вселенную в пучину ужаса и всеобъемлющего страха.",28.02.2024,"боевик, драма, приключения, фантастика",7.98/10
