,title,description,release_date,tags,rating
64,Человек-паук: Через вселенные,"Сюжет рассказывает о подростке из Нью-Йорка Майлзе Моралесе, который случайно получает сверхспособности. И теперь в костюме человека-паука он спасает город от различных преступных элементов. Но не только он носит костюм супергероя...",12.12.2018,"боевик, кинокомикс, мультфильм, приключения, семейный, фантастика",8.10/10
65,Свидетель обвинения, Рассказ Агаты Кристи  о полном сюрпризов судебном процессе над представшим перед судом по обвинению в  убийстве мужчиной. ,17.12.1957,"детектив, драма, криминал, триллер",8.57/10
66,Сияние,"Джек Торранс, его жена и сын жили в изолированном отеле. Однажды ребенок стал видеть странные видения, используя некий телепатический дар. В это время Джек начинал медленно сходить с ума, посещаемый призраками бывших постояльцев. Единственным, кто мог спасти мальчика, оставалась его мать.",26.09.1980,"мистика, триллер, ужасы",8.57/10
67,Великий диктатор,"История про простого еврейского цирюльника, прошедшего окопы Велийкой войны, и, после двадцатилетней комы, очнувшегося в новом тоталитарном государстве Томэнии, во главе которой стоит как две капли воды похожий на него диктатор Аденоид Хинкель, преследующий евреев и намеревающийся в ближайшее время аннексировать соседний Остерлих.Эта легендарная двухчасовая лента Чарли Чаплина стала первым полностью звуковым фильмом в его карьере, вызвав своей откровенной и хлесткой сатирой на Третий Рейх ожесточенные политические споры и дебаты во всем мире. Фильм, который видели лично Гитлер и Сталин, и который всколыхнул мировую общественность, выйдя вопреки миру между США и Нацистской Германией и высмеяв как самого ""Великого диктатора"", так и его политику преследований и завоеваний. ",16.12.1940,"военный, драма, комедия",8.90/10
68,Чужие,"Спасательную капсулу, с выжившей после схватки с Чужим Эллен Рипли, обнаруживают в глубоком космосе. Рассказу Рипли об инопланетном существе, уничтожившем всю команду, никто не верит, ее лишают звания и отправляют работать в грузовой порт. Но могущественная корпорация ""Уэйланд Ютаниа"" будет вынуждена обратить к ней за помощью, когда пропадает связь с колонией на планете, где экипаж Рипли обнаружил Чужих. ",18.07.1986,"боевик, триллер, ужасы, фантастика",9.06/10
69,Бесславные ублюдки,Группа евреев американского происхождения ведет беспощадную борьбу с нацистами в годы Второй мировой войны.,19.08.2009,"боевик, военный, драма, приключения",8.24/10
70,Темный рыцарь 2: Возрождение легенды,"Бэтмен, восемь лет назад взявший на себе ответственность за преступления окружного прокурора Харви, возвращается, чтобы сразиться с суперзлодеем Бэйном, планирующим уничтожить Готэм.",19.07.2012,"боевик, драма, кинокомикс, криминал, триллер, фантастика",8.26/10
71,Тайна Коко,"Раскрытие секрета, не дававшего покоя целым поколениям, приводит к неожиданному воссоединению семьи.",22.11.2017,"детектив, комедия, мультфильм, мюзикл, приключения, семейный, ужасы, фэнтези",8.76/10
72,Амадей,"Антонио Сальери считал музыку Моцарта божественной. Он и сам мечтал стать музыкантом, подобным ему. Но ему было непонятно, как Бог мог наделить таким талантом Моцарта и обойти его. Сальери стал врагом той силы свыше, что опекает. И музыкант был готов к самой страшной мести за подобное несправедливое отношение к себе.",08.10.1984,"биографический, драма, музыка",8.50/10
73,История игрушек,"Это история о ""секретной жизни"" игрушек, которую они ведут, когда вокруг нет людей. Однажды из окна выпала одна из игрушек. Тогда оставшиеся, ее друзья, собрали спасательную бригаду и отправились в опасное приключение - в город.",07.12.1995,"детский, комедия, мультфильм, приключения, семейный, фэнтези",8.54/10
74,"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу",Сумасшедший генерал запускает процесс «ядерного холокоста». Группа засевших в комнате для переговоров политиков и генералов изо всех сил пытаются его остановить.,29.01.1964,"комедия, триллер",7.90/10
75,Олдбой,"Похищенный и заключенный в неволю на 15 лет О Дэ-су освобожден. Освобожден только для того, чтобы узнать, что у него всего 5 дней на то, чтобы найти своего поработителя.",21.11.2003,"боевик, детектив, драма, кинокомикс, триллер",8.49/10
76,Красота по-американски,"Лестер Бернем переживает кризис среднего возраста. У него не ладятся отношения ни с женой, ни с дочерью. Но тут он влюбляется в подругу своей дочки Анжелу, и его жизнь меняется.В фильме можно найти несколько отсылов к набоковской ""Лолите"". Например, фамилия Анжелы - Хэйз, такая же фамилия была и у Лолиты.",18.11.1999,драма,8.47/10
77,Мстители 4: Финал,"Танос завладел всеми Камнями бесконечности. Половина всех разумных существ в Галактике уничтожена им по щелчку пальцев, как и половина супергероев из команды Мстителей. Грядет финальная битва, но силы очень не равны. Оставшиеся члены команды Мстителей это понимают, и поэтому готовят тщательно продуманный план сражения...",24.04.2019,"боевик, кинокомикс, приключения, фантастика, фэнтези",8.18/10
78,Подводная лодка,"1942 год, немецкий подводный флот. Идет битва за Атлантику.Это история экипажа одной из подводных лодок. Армия несла большие потери, все понимали, что отправлены на гибель, их миссия невыполнима. Но они старались сохранить веру в идеологию своей страны, они не переставали быть профессионалами, солдатами.",17.09.1981,"боевик, военный, драма, исторический",8.88/10
